id,skills
92398233,защита данных
92398233,информационная безопасность
92398233,sql
92426277,статистика
92426277,numpy
92426277,python
92426277,pandas
92426277,clickhouse
92426277,power bi
92426277,excel
92426277,a/b test
92426277,sql
92426277,api
92426277,postgresql
92427664,bi
92427664,etl
92427664,python
92427664,hadoop
92427664,sql
92444490,bi
92444490,sql
92458561,разработка по
92458561,python
92458561,
92458561,
92458561,умение работать в команде
92458561,аналитический склад ума
92458561,ооп
92458561,sql
92458561,аналитическое мышление
92479446,spark
92479446,pytorch
92479446,python
92479446,
92479446,nlp
92485728,bi
92485728,ssis
92485728,etl
92485728,power bi
92485728,python
92485728,ms sql
92485728,ssrs
92485728,sql
92485728,ms sql server
92509522,статистика
92509522,numpy
92509522,etl
92509522,python
92509522,pandas
92509522,
92509522,data analysis
92509522,docker
92509522,sql
92509522,git
92509522,spark
92509524,статистика
92509524,numpy
92509524,etl
92509524,python
92509524,pandas
92509524,
92509524,data analysis
92509524,docker
92509524,sql
92509524,git
92509524,spark
92510030,аналитика продаж
92510030,python
92510030,oracle pl/sql
92510030,excel
92510030,sql
92510030,oracle
92522327,
92522327,статистика
92522327,etl
92522327,английский язык
92522327,python
92522327,clickhouse
92522327,airflow
92522327,postgresql
92522327,git
92522327,sql
92522327,аналитическое мышление
92539014,computer vision
92539014,pytorch
92539014,numpy
92539014,nlp
92544344,spark
92544344,pytorch
92544344,linux
92544344,статистика
92544344,статистический анализ
92544344,python
92544344,английский язык
92544344,big data
92544344,hadoop
92544344,
92544344,docker
92544344,sql
92544344,airflow
92544344,hive
92544344,spark
92572900,pytorch
92572900,статистика
92572900,python
92572900,прогнозирование
92572900,excel
92572900,powerpoint
92572900,postgresql
92572900,git
92572900,arcgis qgis git/gitlab python пространственные базы данных agile
92572900,tensorflow
92574291,numpy
92574291,python
92574291,pandas
92574291,ms sql
92574291,mysql
92574291,гис геоданные postgresql qgis arcgis agile
92574291,excel
92574291,powerpoint
92574291,postgresql
92574291,git
92574291,sql
92607697,pytorch
92607697,статистика
92607697,numpy
92607697,python
92607697,pandas
92607697,atlassian jira
92607697,clickhouse
92607697,llm
92607697,postgresql
92607697,tensorflow
92607697,sql
92607697,nlp
92682465,python
92682465,postgresql
92682465,sql
92682465,excel
92696064,
92696064,pytorch
92696064,numpy
92696064,pandas
92696064,recommender systems
92696064,scipy
92696064,python
92696064,hadoop
92696064,mathematics
92696064,sql
92696064,hive
92696064,search ranking
92696064,java
92696064,nlp
92696064,статистика
92696064,a/b test
92696064,scikit-learn
92696064,presto
92696064,
92696064,neural nets
92711252,
92711252,бюджетирование
92711252,аналитика
92711252,финансовый анализ
92711252,управленческий учет
92711252,расходы
92711252,планирование
92711252,ms sql
92711252,план-фактный анализ бюджета
92711252,формирование управленческой отчетности
92711252,финансовая отчетность
92711252,субд
92711252,фса
92711252,excel
92711252,data analysis
92711252,управленческая отчетность
92711252,sql
92711252,аллокация
92743389,
92743389,статистика
92743389,numpy
92743389,ms office
92743389,python
92743389,pandas
92743389,ms sql
92743389,excel
92743389,работа с большим объемом информации
92743389,организаторские навыки
92743389,postgresql
92743389,аналитическое мышление
92776002,pytorch
92776002,linux
92776002,статистика
92776002,статистический анализ
92776002,python
92776002,английский язык
92776002,big data
92776002,прогнозирование
92776002,
92776002,hadoop
92776002,
92776002,docker
92776002,sql
92776002,airflow
92776002,hive
92776002,spark
92779539,pytorch
92779539,python
92779539,pandas
92779539,git
92779539,airflow
